Rk,Player,Debut,age,yrs,g,mp,fg,fga,3p,3pa,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg%,3p%,ft%,mp,pts,trb,ast,stl,blk,-9999
56,Wendell Moore Jr.,Oct 23 '22 MIN @ OKC,21,2,54,228,27,61,2,23,4,5,4,30,24,13,6,12,18,60,.443,.087,.800,4.2,1.1,0.6,0.4,0.2,0.1,moorewe01
57,Keegan Murray,Oct 22 '22 SAC vs. LAC,22,2,157,4970,797,1757,389,1012,165,205,195,791,227,140,101,124,367,2148,.454,.384,.805,31.7,13.7,5.0,1.4,0.9,0.6,murrake02
58,Andrew Nembhard,Oct 21 '22 IND vs. SAS,23,2,143,3770,544,1166,153,434,94,118,71,340,621,133,19,227,322,1335,.467,.353,.797,26.4,9.3,2.4,4.3,0.9,0.1,nembhan01
59,Scotty Pippen Jr.,Oct 18 '22 LAL @ GSW,22,2,27,559,104,215,31,75,46,64,24,71,100,38,11,58,63,285,.484,.413,.719,20.7,10.6,2.6,3.7,1.4,0.4,pippesc02
60,Jason Preston,Oct 23 '22 LAC vs. PHO,23,2,21,195,24,60,5,21,0,2,8,39,43,4,1,12,10,53,.400,.238,.000,9.3,2.5,1.9,2.0,0.2,0.0,prestja01
61,Lester Quinones,Mar 31 '23 GSW vs. SAS,22,2,41,412,58,146,34,92,24,35,22,75,38,7,2,22,44,174,.397,.370,.686,10.0,4.2,1.8,0.9,0.2,0.0,quinole01
62,Jared Rhoden,Jan 10 '23 DET @ PHI,23,2,31,443,50,110,17,51,11,14,14,70,18,7,14,10,51,128,.455,.333,.786,14.3,4.1,2.3,0.6,0.2,0.5,rhodeja01
63,Orlando Robinson,Nov 18 '22 MIA @ WAS,22,2,67,729,83,161,8,21,41,56,76,210,59,19,20,34,88,215,.516,.381,.732,10.9,3.2,3.1,0.9,0.3,0.3,robinor01
64,David Roddy,Oct 19 '22 MEM vs. NYK,21,2,135,2435,345,829,113,376,88,133,103,404,139,56,30,114,179,891,.416,.301,.662,18.0,6.6,3.0,1.0,0.4,0.2,roddyda01
65,Ryan Rollins,Oct 18 '22 GSW vs. LAL,20,2,25,140,21,47,6,13,19,23,5,25,20,11,4,24,18,67,.447,.462,.826,5.6,2.7,1.0,0.8,0.4,0.2,rolliry01
66,Dereon Seabron,Oct 28 '22 NOP @ PHO,22,2,11,67,6,18,1,2,5,6,2,8,5,2,1,0,5,18,.333,.500,.833,6.1,1.6,0.7,0.5,0.2,0.1,seabrde01
67,Shaedon Sharpe,Oct 19 '22 POR @ SAC,19,2,112,2838,482,1082,162,463,173,224,105,396,188,66,36,155,224,1299,.445,.350,.772,25.3,11.6,3.5,1.7,0.6,0.3,sharpsh01
68,Dru Smith,Oct 26 '22 MIA @ POR,25,2,24,289,33,78,12,36,5,5,8,38,36,19,7,8,35,83,.423,.333,1.000,12.0,3.5,1.6,1.5,0.8,0.3,smithdr01
69,Jabari Smith Jr.,Oct 19 '22 HOU @ ATL,19,2,155,4875,742,1725,258,771,312,391,261,1185,222,95,135,193,427,2054,.430,.335,.798,31.5,13.3,7.6,1.4,0.6,0.9,smithja05
70,Jeremy Sochan,Oct 19 '22 SAS vs. CHO,19,2,130,3651,590,1328,103,361,192,260,232,771,391,105,63,237,306,1475,.444,.285,.738,28.1,11.3,5.9,3.0,0.8,0.5,sochaje01
71,Cole Swider,Oct 18 '22 LAL @ GSW,23,2,25,128,18,47,13,38,2,2,2,14,9,1,1,8,7,51,.383,.342,1.000,5.1,2.0,0.6,0.4,0.0,0.0,swideco01
72,Dalen Terry,Oct 22 '22 CHI vs. CLE,20,2,97,895,101,229,24,101,39,64,41,150,103,38,23,40,105,265,.441,.238,.609,9.2,2.7,1.5,1.1,0.4,0.2,terryda01
73,Stanley Umude,Feb 15 '23 DET @ BOS,23,2,25,309,37,85,24,54,31,34,8,51,11,9,8,14,40,129,.435,.444,.912,12.4,5.2,2.0,0.4,0.4,0.3,umudest01
74,Jabari Walker,Oct 24 '22 POR vs. DEN,20,2,128,2319,317,707,57,195,163,216,199,639,105,52,35,95,242,854,.448,.292,.755,18.1,6.7,5.0,0.8,0.4,0.3,walkeja01
75,TyTy Washington Jr.,Nov 14 '22 HOU vs. LAC,21,2,42,489,64,180,21,86,10,18,3,50,52,18,2,16,30,159,.356,.244,.556,11.6,3.8,1.2,1.2,0.4,0.0,washity02
76,Peyton Watson,Oct 19 '22 DEN @ UTA,20,2,103,1674,237,506,51,166,82,126,64,295,97,44,99,66,157,607,.468,.307,.651,16.3,5.9,2.9,0.9,0.4,1.0,watsope01
77,Blake Wesley,Oct 28 '22 SAS vs. CHI,19,2,98,1545,171,430,32,107,78,122,29,175,265,54,14,120,156,452,.398,.299,.639,15.8,4.6,1.8,2.7,0.6,0.1,weslebl01
78,Jack White,Oct 26 '22 DEN vs. LAL,25,2,21,130,10,35,5,19,2,3,10,29,5,7,3,4,12,27,.286,.263,.667,6.2,1.3,1.4,0.2,0.3,0.1,whiteja03
79,Alondes Williams,Dec 10 '22 BRK @ IND,23,2,8,21,2,8,0,4,1,1,0,2,0,0,1,4,3,5,.250,.000,1.000,2.6,0.6,0.3,0.0,0.0,0.1,willial06
80,Donovan Williams,Apr 4 '23 ATL @ CHI,21,1,2,4,2,5,0,2,0,0,0,2,0,0,0,0,0,4,.400,.000,,2.0,2.0,1.0,0.0,0.0,0.0,willido02
81,Jalen Williams,Oct 19 '22 OKC @ MIN,21,2,146,4499,950,1787,176,446,335,412,121,619,570,183,80,246,366,2411,.532,.395,.813,30.8,16.5,4.2,3.9,1.3,0.5,willija06
82,Jaylin Williams,Oct 23 '22 OKC vs. MIN,20,2,118,1811,197,462,99,257,71,95,80,475,186,56,39,71,209,564,.426,.385,.747,15.3,4.8,4.0,1.6,0.5,0.3,willija07
83,Jeenathan Williams,Apr 2 '23 POR @ MIN,23,2,27,256,51,89,5,13,9,16,22,38,17,7,3,8,23,116,.573,.385,.563,9.5,4.3,1.4,0.6,0.3,0.1,willije02
84,Mark Williams,Oct 19 '22 CHO @ SAS,21,2,62,1336,258,402,0,0,113,161,169,488,40,44,65,57,144,629,.642,,.702,21.5,10.1,7.9,0.6,0.7,1.0,willima07
85,Vince Williams Jr.,Oct 22 '22 MEM @ DAL,22,2,67,1541,181,419,83,237,106,132,63,305,179,53,36,97,147,551,.432,.350,.803,23.0,8.2,4.6,2.7,0.8,0.5,willivi01
